  Time                 , V(R1:1)              , V(L1:1)              
  0.000000000000e+000  ,0.000000000000e+000  ,0.000000000000e+000  
  2.000000000000e-005  ,2.000000000000e-002  ,1.421360230326e-002  
  2.123939514160e-005  ,2.123939514160e-002  ,1.507398821787e-002  
  2.371818542480e-005  ,2.371818542480e-002  ,1.675045354163e-002  
  2.867576599121e-005  ,2.867576599121e-002  ,1.986621576976e-002  
  3.859092712402e-005  ,3.859092712402e-002  ,2.528168935389e-002  
  5.842124938965e-005  ,5.842124938965e-002  ,3.373586667798e-002  
  9.808189392090e-005  ,9.808189392090e-002  ,4.613375616740e-002  
  1.661727142334e-004  ,1.661727142334e-001  ,6.818615696973e-002  
  2.663069915771e-004  ,2.663069915771e-001  ,1.203948406918e-001  
  4.440169525146e-004  ,4.440169525146e-001  ,2.629754227869e-001  
  7.248274993896e-004  ,7.248274993896e-001  ,5.372131307857e-001  
  9.807357025146e-004  ,9.807357025146e-001  ,7.943323767610e-001  
  1.245579452515e-003  ,1.245579452515e+000  ,1.059232500387e+000  
  1.775266952515e-003  ,1.775266952515e+000  ,1.588621672731e+000  
  2.000000000400e-003  ,2.000000000000e+000  ,1.813455664101e+000  
  2.016412353916e-003  ,2.000000000000e+000  ,1.817419688851e+000  
  2.049237060947e-003  ,2.000000000000e+000  ,1.831686497000e+000  
  2.114886475009e-003  ,2.000000000000e+000  ,1.876436631260e+000  
  2.202801514072e-003  ,2.000000000000e+000  ,1.930516891996e+000  
  2.303375244541e-003  ,2.000000000000e+000  ,1.972118678896e+000  
  2.480059814853e-003  ,2.000000000000e+000  ,1.997011358022e+000  
  2.536889648837e-003  ,2.000000000000e+000  ,1.999099353565e+000  
  2.601660156650e-003  ,2.000000000000e+000  ,1.999626523171e+000  
  2.651562500400e-003  ,2.000000000000e+000  ,1.999830298668e+000  
  2.700103760166e-003  ,2.000000000000e+000  ,1.999915764447e+000  
  2.797186279697e-003  ,2.000000000000e+000  ,1.999986162496e+000  
  2.962176514072e-003  ,2.000000000000e+000  ,2.000003807888e+000  
  3.292156982822e-003  ,2.000000000000e+000  ,1.999999245738e+000  
  3.952117920322e-003  ,2.000000000000e+000  ,1.999999026242e+000  
  5.272039795322e-003  ,2.000000000000e+000  ,2.000000697736e+000  
  7.911883545322e-003  ,2.000000000000e+000  ,1.999999409419e+000  
  1.191188354532e-002  ,2.000000000000e+000  ,1.999999944079e+000  
  1.200000000040e-002  ,1.999999999600e+000  ,1.999999976063e+000  
  1.200370063822e-002  ,1.996299361783e+000  ,1.996559456147e+000  
  1.201110191385e-002  ,1.988898086148e+000  ,1.990198004464e+000  
  1.202590446512e-002  ,1.974095534878e+000  ,1.980029044391e+000  
  1.205374259989e-002  ,1.946257400113e+000  ,1.967077993672e+000  
  1.209355583231e-002  ,1.906444167691e+000  ,1.955121211498e+000  
  1.215758171122e-002  ,1.842418288785e+000  ,1.935656146223e+000  
  1.224968376200e-002  ,1.750316238003e+000  ,1.890565906070e+000  
  1.241953239481e-002  ,1.580467605191e+000  ,1.759339670112e+000  
  1.264780387918e-002  ,1.352196120816e+000  ,1.544292845719e+000  
  1.291474723856e-002  ,1.085252761441e+000  ,1.271728074417e+000  
  1.336518669168e-002  ,6.348133083158e-001  ,8.212517588820e-001  
  1.383784294168e-002  ,1.621570583158e-001  ,3.488147625063e-001  
  1.400000000040e-002  ,0.000000000000e+000  ,1.865836072140e-001  
  1.401533508341e-002  ,0.000000000000e+000  ,1.830932474911e-001  
  1.404600524942e-002  ,0.000000000000e+000  ,1.702294236557e-001  
  1.410734558145e-002  ,0.000000000000e+000  ,1.288519412192e-001  
  1.419539489786e-002  ,0.000000000000e+000  ,7.351254506101e-002  
  1.429353942911e-002  ,0.000000000000e+000  ,3.064660326378e-002  
  1.436720886270e-002  ,0.000000000000e+000  ,1.408586139160e-002  
  1.444427185099e-002  ,0.000000000000e+000  ,5.381498148198e-003  
  1.450935974161e-002  ,0.000000000000e+000  ,2.033275142654e-003  
  1.456178894083e-002  ,0.000000000000e+000  ,8.206444140973e-004  
  1.460437316935e-002  ,0.000000000000e+000  ,3.620998128210e-004  
  1.464029846231e-002  ,0.000000000000e+000  ,1.709324559788e-004  
  1.467020263712e-002  ,0.000000000000e+000  ,8.677426960684e-005  
  1.469017028849e-002  ,0.000000000000e+000  ,5.383140330891e-005  
  1.471268310587e-002  ,0.000000000000e+000  ,3.134218587721e-005  
  1.473710937540e-002  ,0.000000000000e+000  ,1.493027382136e-005  
  1.476476440470e-002  ,0.000000000000e+000  ,3.309656434222e-006  
  1.482007446329e-002  ,0.000000000000e+000  ,-7.296521467170e-006  
  1.487662963907e-002  ,0.000000000000e+000  ,-8.935189972590e-006  
  1.496205444376e-002  ,0.000000000000e+000  ,-6.587352618255e-006  
  1.504397583048e-002  ,0.000000000000e+000  ,-3.764092945049e-006  
  1.519038696329e-002  ,0.000000000000e+000  ,-9.904669215017e-007  
  1.531948852579e-002  ,0.000000000000e+000  ,-7.064704985958e-008  
  1.544314575235e-002  ,0.000000000000e+000  ,2.302481815351e-008  
  1.562349243204e-002  ,0.000000000000e+000  ,8.573450154896e-009  
  1.579585571329e-002  ,0.000000000000e+000  ,4.656902227490e-010  
  1.614058227579e-002  ,0.000000000000e+000  ,-1.483346300638e-010  
  1.683003540079e-002  ,0.000000000000e+000  ,8.678642537770e-011  
  1.820894165079e-002  ,0.000000000000e+000  ,-6.662246034260e-011  
  2.000000000040e-002  ,3.999994779846e-010  ,3.860122565798e-010  
  2.002787475626e-002  ,2.787475625938e-002  ,1.812327956211e-002  
  2.008362426798e-002  ,8.362426797813e-002  ,4.346238470382e-002  
  2.019512329142e-002  ,1.951232914156e-001  ,8.182318012765e-002  
  2.030805053751e-002  ,3.080505375094e-001  ,1.486193229527e-001  
  2.047035522501e-002  ,4.703552250094e-001  ,2.879699714687e-001  
  2.070126342813e-002  ,7.012634281344e-001  ,5.111331247837e-001  
  2.095897827188e-002  ,9.589782718844e-001  ,7.726168016357e-001  
  2.130043335001e-002  ,1.300433350009e+000  ,1.114605320427e+000  
  2.194408569376e-002  ,1.944085693759e+000  ,1.757196612755e+000  
  2.200000000040e-002  ,2.000000000000e+000  ,1.813232541707e+000  
  2.200794067423e-002  ,2.000000000000e+000  ,1.814278755991e+000  
  2.202382202188e-002  ,2.000000000000e+000  ,1.818547154424e+000  
  2.205558471720e-002  ,2.000000000000e+000  ,1.835243096254e+000  
  2.211911010782e-002  ,2.000000000000e+000  ,1.879884090909e+000  
  2.221299438517e-002  ,2.000000000000e+000  ,1.937750755702e+000  
  2.231921997110e-002  ,2.000000000000e+000  ,1.975267678418e+000  
